101,0,0,0,0,0,0,0
98,1,1,0,1,0,0,0
0,0,0,1,0,1,1,98
1,1,0,1,1,0,1,96
0,1,0,2,1,1,2,94
2,2,1,1,2,0,1,92
0,1,0,3,1,2,3,91
3,3,2,1,3,0,1,88
0,1,0,4,1,3,4,88
6,3,1,2,3,0,2,84
1,2,0,4,2,2,4,86
3,4,2,3,4,1,3,81
2,3,2,4,3,3,4,80
4,4,3,3,4,2,3,78
1,4,1,6,4,3,6,76
5,7,4,3,7,0,3,72
2,3,1,7,3,5,7,73
10,5,3,4,5,2,4,68
4,4,1,6,4,3,6,73
4,7,2,6,7,1,6,68
4,6,3,7,6,4,7,64
9,6,3,6,6,3,6,62
6,6,2,7,6,3,7,64
5,7,5,6,7,4,6,61
3,6,7,7,6,8,7,57
9,7,5,7,7,5,7,54
9,6,3,8,6,5,8,56
7,8,5,7,8,4,7,55
3,8,6,9,8,7,9,51
8,9,9,7,9,7,7,45
8,8,4,10,8,6,10,47
8,11,7,8,11,4,8,44
8,6,6,11,6,11,11,42
16,9,8,6,9,5,6,42
5,6,3,12,6,9,12,48
9,13,11,6,13,4,6,39
3,6,7,13,6,14,13,39
15,13,11,7,13,5,7,30
7,7,5,13,7,11,13,38
13,13,8,10,13,5,10,29
6,11,9,12,11,10,12,30
12,12,8,13,12,9,13,22
18,12,5,12,12,5,12,25
10,12,6,13,12,7,13,28
13,11,7,14,11,10,14,21
14,15,11,9,15,5,9,23
5,10,7,16,10,13,16,24
19,14,12,10,14,8,10,14
10,9,9,14,9,14,14,22
15,14,11,11,14,8,11,17
12,9,8,15,9,14,15,19
16,16,10,11,16,5,11,16
4,13,11,15,13,13,15,17
11,16,18,11,16,13,11,5
17,10,9,15,10,14,15,11
15,14,14,11,14,11,11,11
9,12,12,14,12,14,14,14
13,14,13,14,14,13,14,6
15,14,15,11,14,12,11,9
10,12,13,13,12,14,13,14
12,13,15,12,13,14,12,10
12,14,10,15,14,11,15,10
18,13,11,13,13,11,13,9
11,14,12,13,14,11,13,13
9,14,15,13,14,14,13,9
14,12,14,14,12,16,14,5
21,11,13,11,11,13,11,10
9,14,10,13,14,9,13,19
10,14,10,15,14,11,15,12
16,13,13,13,13,13,13,7
14,14,15,9,14,10,9,16
5,11,9,17,11,15,17,16
21,14,12,13,14,11,13,3
20,10,9,12,10,11,12,17
11,12,8,14,12,10,14,20
9,15,11,15,15,11,15,10
15,16,13,12,16,9,12,8
8,13,14,14,13,15,14,10
14,15,15,12,15,12,12,6
16,10,14,11,10,15,11,14
7,13,16,11,13,14,11,16
11,11,12,15,11,16,15,10
17,16,14,10,16,8,10,10
3,12,16,13,12,17,13,15
12,16,14,13,16,11,13,6
12,14,16,11,14,13,11,10
10,12,12,15,12,15,15,10
20,14,11,12,14,9,12,9
8,12,15,12,12,15,12,15
15,13,9,14,13,10,14,13
11,15,10,15,15,10,15,10
12,16,16,11,16,11,11,8
15,8,9,17,8,18,17,9
29,12,10,9,12,7,9,13
6,9,9,13,9,13,13,29
8,14,14,12,14,12,12,15
9,16,10,15,16,9,15,11
15,13,16,11,13,14,11,8
12,11,13,13,11,15,13,13
17,13,9,13,13,9,13,14
12,12,11,13,12,12,13,16
