101,0,0,0,0,0,0,0
95,2,2,0,2,0,0,0
0,0,2,2,0,4,2,91
87,2,0,2,2,0,2,6
2,2,4,2,2,4,2,83
79,2,2,4,2,4,4,4
0,0,4,4,0,8,4,81
73,4,0,4,4,0,4,12
4,4,10,2,4,8,2,67
63,2,4,6,2,8,6,10
2,2,4,6,2,8,6,71
59,6,6,4,6,4,4,12
4,4,12,4,4,12,4,57
49,4,4,8,4,8,8,16
4,4,10,6,4,12,6,55
43,6,8,6,6,8,6,18
6,6,12,6,6,12,6,47
37,5,10,7,5,12,7,18
6,5,10,7,5,12,7,49
35,7,10,7,7,10,7,18
6,6,14,6,6,14,6,43
31,6,10,8,6,12,8,20
6,6,12,8,6,14,8,41
27,7,12,7,7,12,7,22
8,7,14,7,7,14,7,37
23,7,12,9,7,14,9,20
6,6,14,8,6,16,8,37
21,8,12,8,8,12,8,24
8,8,16,8,8,16,8,29
15,7,14,9,7,16,9,24
8,7,14,9,7,16,9,31
13,9,14,9,9,14,9,24
8,8,18,8,8,18,8,25
9,8,14,10,8,16,10,26
8,8,17,9,8,18,9,24
8,8,16,8,8,16,8,29
13,8,16,8,8,16,8,24
8,8,14,10,8,16,10,27
9,9,16,9,9,16,9,24
8,7,19,8,7,20,8,24
8,8,14,8,8,14,8,33
19,7,16,7,7,16,7,22
8,7,12,9,7,14,9,35
17,9,14,9,9,14,9,20
6,6,18,8,6,20,8,29
13,8,12,8,8,12,8,32
16,8,16,8,8,16,8,21
7,7,12,11,7,16,11,30
10,9,15,10,9,16,10,22
6,6,20,8,6,22,8,25
11,7,12,7,7,12,7,38
24,7,14,7,7,14,7,21
7,7,10,11,7,14,11,34
16,8,15,9,8,16,9,20
6,5,16,9,5,20,9,31
13,9,10,9,9,10,9,32
16,8,20,6,8,18,6,19
7,6,10,12,6,16,12,32
10,10,13,11,10,14,11,22
6,6,24,6,6,24,6,23
11,6,12,6,6,12,6,42
30,6,10,8,6,12,8,21
7,7,10,9,7,12,9,40
24,7,15,8,7,16,8,16
4,4,14,8,4,18,8,41
27,7,8,7,7,8,7,30
16,7,14,7,7,14,7,29
15,7,8,13,7,14,13,24
6,6,16,10,6,20,10,27
11,6,14,8,6,16,8,32
16,8,14,6,8,12,6,31
21,5,12,9,5,16,9,24
8,7,7,12,7,12,12,36
16,8,18,8,8,18,8,17
7,3,16,7,3,20,7,38
24,7,4,9,7,6,9,35
17,9,16,7,9,14,7,22
12,4,13,11,4,20,11,26
8,7,8,11,7,12,11,37
19,7,18,7,7,18,7,18
6,6,14,6,6,14,6,43
31,6,10,8,6,12,8,20
6,6,10,10,6,14,10,39
21,9,12,9,9,12,9,20
6,5,18,9,5,22,9,27
9,9,8,11,9,10,11,34
16,8,23,5,8,20,5,16
6,5,10,11,5,16,11,37
15,11,10,11,11,10,11,22
6,6,26,6,6,26,6,19
7,6,8,10,6,12,10,42
24,8,15,7,8,14,7,18
6,6,16,6,6,16,6,39
27,6,8,10,6,12,10,22
6,6,12,10,6,16,10,35
17,9,14,7,9,12,7,26
14,5,18,7,5,20,7,25
11,7,6,11,7,10,11,38
18,10,16,8,10,14,8,17
5,4,18,10,4,24,10,26
8,8,7,11,8,10,11,38
